Number Name    Sex     Class QQnumber     Score   Rank 
007   Mike     Male     6   35674653425   57.60    1    
002   Mary     Female   1   15894627890   67.60    2    
003   John     Male     2   13764785478   68.40    3    
004   Brown    Male     2   15573894767   60.00    4    
012   Peb      Female   6   43546765438   87.20    5    
006   Amy      Female   8   45637389372   79.80    6    
001   Jack     Male     1   13637589403   80.60    7    
008   Nike     Female   8   87354647893   80.80    8    
009   Hercy    Male     7   35476547897   68.20    9    
010   Xel      Male     8   92757678976   64.00    10   
011   Bake     Male     9   76546576645   77.20    11   
005   Sarah    Female   3   19873636475   56.20    12   
